source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,down_par,down_par_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_PiEPlentzia_Wa_1,0.136,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.3,EXO2 multiparameter sonde,21.3,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,,,,,,,,,,47.501,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,8.15,EXO2 multiparameter sonde,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 0.326; C1 ; Peridinin ; 19'Buthane ; Fucoxanthin 0.117; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU ; Diadinoxanthin 0.342; Aloxanthin 0.183; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.136; Clorophyll a 0.665; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_2,0.136,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.3,EXO2 multiparameter sonde,21.3,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,,,,,,,,,,47.501,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,8.15,EXO2 multiparameter sonde,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 0.326; C1 ; Peridinin ; 19'Buthane ; Fucoxanthin 0.117; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU ; Diadinoxanthin 0.342; Aloxanthin 0.183; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.136; Clorophyll a 0.665; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_3,0.136,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.3,EXO2 multiparameter sonde,21.3,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,,,,,,,,,,47.501,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,8.15,EXO2 multiparameter sonde,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 0.326; C1 ; Peridinin ; 19'Buthane ; Fucoxanthin 0.117; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU ; Diadinoxanthin 0.342; Aloxanthin 0.183; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.136; Clorophyll a 0.665; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_4,0.136,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.3,EXO2 multiparameter sonde,21.3,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,,,,,,,,,,47.501,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,8.15,EXO2 multiparameter sonde,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 0.326; C1 ; Peridinin ; 19'Buthane ; Fucoxanthin 0.117; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU ; Diadinoxanthin 0.342; Aloxanthin 0.183; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.136; Clorophyll a 0.665; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_PiEPlentzia_Wa_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_PiEPlentzia_Wa_7,0.136,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.3,EXO2 multiparameter sonde,21.3,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,,,,,,,,,,47.501,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,8.15,EXO2 multiparameter sonde,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 0.326; C1 ; Peridinin ; 19'Buthane ; Fucoxanthin 0.117; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU ; Diadinoxanthin 0.342; Aloxanthin 0.183; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.136; Clorophyll a 0.665; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_8,0.136,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.3,EXO2 multiparameter sonde,21.3,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,,,,,,,,,,47.501,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,8.15,EXO2 multiparameter sonde,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 0.326; C1 ; Peridinin ; 19'Buthane ; Fucoxanthin 0.117; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU ; Diadinoxanthin 0.342; Aloxanthin 0.183; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.136; Clorophyll a 0.665; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_9,0.136,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.3,EXO2 multiparameter sonde,21.3,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,,,,,,,,,,47.501,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,8.15,EXO2 multiparameter sonde,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 0.326; C1 ; Peridinin ; 19'Buthane ; Fucoxanthin 0.117; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU ; Diadinoxanthin 0.342; Aloxanthin 0.183; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.136; Clorophyll a 0.665; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_10,0.136,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.3,EXO2 multiparameter sonde,21.3,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,33.6,EXO2 multiparameter sonde,,,,,,,,,,47.501,EXO2 multiparameter sonde,,,,,,,,,,,,,,,,,,,,,,,8.15,EXO2 multiparameter sonde,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 0.326; C1 ; Peridinin ; 19'Buthane ; Fucoxanthin 0.117; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU ; Diadinoxanthin 0.342; Aloxanthin 0.183; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.136; Clorophyll a 0.665; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_PiEPlentzia_Wa_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMOBON_PiEPlentzia_Wa_13,0.889,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.8,YSI ProDSS,21.8,YSI ProDSS,34.3,YSI ProDSS,34.3,YSI ProDSS,,,,,,,,,,47.389,YSI ProDSS,,,,,,,,,,,,,,,,,,,,,,,8.84,YSI ProDSS,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 ; C1 ; Peridinin ; 19'Buthane  ; Fucoxanthin 0.180; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU 0.239; Diadinoxanthin 0.124; Aloxanthin 0.131; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.889; Clorophyll a 0.636; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene 0.221,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_14,0.889,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.8,YSI ProDSS,21.8,YSI ProDSS,34.3,YSI ProDSS,34.3,YSI ProDSS,,,,,,,,,,47.389,YSI ProDSS,,,,,,,,,,,,,,,,,,,,,,,8.84,YSI ProDSS,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 ; C1 ; Peridinin ; 19'Buthane  ; Fucoxanthin 0.180; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU 0.239; Diadinoxanthin 0.124; Aloxanthin 0.131; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.889; Clorophyll a 0.636; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene 0.221,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_15,0.889,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.8,YSI ProDSS,21.8,YSI ProDSS,34.3,YSI ProDSS,34.3,YSI ProDSS,,,,,,,,,,47.389,YSI ProDSS,,,,,,,,,,,,,,,,,,,,,,,8.84,YSI ProDSS,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 ; C1 ; Peridinin ; 19'Buthane  ; Fucoxanthin 0.180; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU 0.239; Diadinoxanthin 0.124; Aloxanthin 0.131; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.889; Clorophyll a 0.636; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene 0.221,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_16,0.889,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,21.8,YSI ProDSS,21.8,YSI ProDSS,34.3,YSI ProDSS,34.3,YSI ProDSS,,,,,,,,,,47.389,YSI ProDSS,,,,,,,,,,,,,,,,,,,,,,,8.84,YSI ProDSS,,,,,,,,,,,Chlorophylide a ; MgDvp ; C2 ; C1 ; Peridinin ; 19'Buthane  ; Fucoxanthin 0.180; Neoxanthin ; Prasinoxanthin ; Violaxanthin ; HFU 0.239; Diadinoxanthin 0.124; Aloxanthin 0.131; Diatoxanthin ; Monadoxanthin ; Zeaxanthin ; Luthein ; Clorophyll b 0.889; Clorophyll a 0.636; non polar C2(14-14) ; Pheophytin a ; Alpha-carothene ; B-carothene 0.221,HPLC (Alliance HPLC System) following the method described by Zapata et al. 2000,,,,,,,,,,,,,,
EMOBON_PiEPlentzia_Wa_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
